Sl. No.,States/UTs/Cities,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims,2018 - CCS,2018 - CTC
1,Andhra Pradesh,503,468,971,898,589
2,Arunachal Pradesh,29,38,67,52,7
3,Assam,89,1559,1648,1283,898
4,Bihar,4,647,651,721,159
5,Chhattisgarh,1215,876,2091,1959,1274
6,Goa,34,27,61,73,47
7,Gujarat,7,546,553,508,134
8,Haryana,2,1294,1296,769,685
9,Himachal Pradesh,191,153,344,309,97
10,Jharkhand,69,1021,1090,823,376
11,Karnataka,3,489,492,481,420
12,Kerala,1137,808,1945,1657,733
13,Madhya Pradesh,2830,2603,5433,5353,3821
14,Maharashtra,0,2142,2142,1858,1052
15,Manipur,17,35,52,26,10
16,Meghalaya,25,62,87,50,33
17,Mizoram,23,27,50,44,3
18,Nagaland,3,7,10,9,10
19,Odisha,37,881,918,1239,1036
20,Punjab,324,507,831,670,603
21,Rajasthan,1030,3305,4335,2374,1285
22,Sikkim,4,12,16,14,14
23,Tamil Nadu,6,325,331,319,438
24,Telangana,0,606,606,461,224
25,Tripura,0,97,97,99,66
26,Uttar Pradesh,1353,2593,3946,3252,1925
27,Uttarakhand,268,293,561,352,76
28,West Bengal,4,1065,1069,858,497
Total State(s),Total State(s),9207,22486,31693,26511,16512
29,Andaman and Nicobar Islands,14,16,30,37,5
30,Chandigarh,53,33,86,52,45
31,Dadra and Nagar Haveli and Daman and Diu,1,9,10,6,12
32,Delhi,0,1215,1215,1654,552
33,Jammu and Kashmir,37,283,320,209,187
34,Ladakh,,,,,
35,Lakshadweep,0,2,2,0,0
36,Puducherry,0,0,0,0,0
Total UT(s),Total UT(s),105,1558,1663,1958,801
Total (All India),Total (All India),9312,24044,33356,28469,17313
