Sl. No.,States/UTs/Cities,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims,2020 - CCS,2020 - CTC
1,Andhra Pradesh,577,518,1095,1134,402
2,Arunachal Pradesh,29,31,60,63,1
3,Assam,18,1639,1657,1195,462
4,Bihar,1,805,806,697,67
5,Chhattisgarh,13,1197,1210,1221,313
6,Goa,41,19,60,58,21
7,Gujarat,0,486,486,464,62
8,Haryana,0,1373,1373,784,145
9,Himachal Pradesh,196,135,331,317,85
10,Jharkhand,116,1205,1321,966,371
11,Karnataka,0,504,504,436,341
12,Kerala,0,637,637,1362,1307
13,Madhya Pradesh,10,2329,2339,2311,1087
14,Maharashtra,0,2061,2061,1935,418
15,Manipur,2,30,32,18,5
16,Meghalaya,1,66,67,36,28
17,Mizoram,15,18,33,32,13
18,Nagaland,1,3,4,3,7
19,Odisha,17,1194,1211,1167,201
20,Punjab,62,440,502,445,206
21,Rajasthan,1279,4031,5310,2949,1512
22,Sikkim,3,9,12,10,3
23,Tamil Nadu,0,389,389,324,139
24,Telangana,0,764,764,837,272
25,Tripura,0,79,79,67,29
26,Uttar Pradesh,204,2565,2769,2249,1375
27,Uttarakhand,5,482,487,418,119
28,West Bengal,0,1128,1128,983,393
Total State(s),Total State(s),2590,24137,26727,22481,9384
29,Andaman and Nicobar Islands,0,2,2,3,9
30,Chandigarh,46,14,60,67,18
31,Dadra and Nagar Haveli and Daman and Diu,0,4,4,4,1
32,Delhi,0,997,997,973,182
33,Jammu and Kashmir,3,240,243,154,107
34,Ladakh,1,1,2,1,2
35,Lakshadweep,0,3,3,0,0
36,Puducherry,0,8,8,10,10
Total UT(s),Total UT(s),50,1269,1319,1212,329
Total (All India),Total (All India),2640,25406,28046,23693,9713
