Sl. No.,States/UTs/Cities,No. of Victims (Total Rape Cases) < 18 Years,No. of Victims (Total Rape Cases) > 18 Years,No. of Victims (Total Rape Cases) - Total Victims,2022 - CCS,2022 - CTC
1,Andhra Pradesh,0,621,621,585,561
2,Arunachal Pradesh,30,44,74,75,26
3,Assam,4,1109,1113,1354,710
4,Bihar,0,881,881,915,251
5,Chhattisgarh,0,1246,1246,1291,886
6,Goa,55,18,73,72,37
7,Gujarat,0,610,610,565,256
8,Haryana,0,1787,1787,892,661
9,Himachal Pradesh,213,146,359,334,195
10,Jharkhand,184,1114,1298,1246,751
11,Karnataka,0,595,595,479,406
12,Kerala,0,814,814,920,1322
13,Madhya Pradesh,0,3029,3029,3044,3462
14,Maharashtra,0,2904,2904,2608,1319
15,Manipur,0,42,42,14,10
16,Meghalaya,3,72,75,77,58
17,Mizoram,1,13,14,14,12
18,Nagaland,1,6,7,7,2
19,Odisha,1,1463,1464,1449,1672
20,Punjab,0,517,517,358,381
21,Rajasthan,0,5399,5399,2695,1519
22,Sikkim,0,13,13,17,29
23,Tamil Nadu,5,416,421,394,279
24,Telangana,0,814,814,946,530
25,Tripura,0,62,62,55,37
26,Uttar Pradesh,458,3232,3690,2824,1935
27,Uttarakhand,0,867,867,754,197
28,West Bengal,0,1111,1111,991,378
Total State(s),Total State(s),955,28945,29900,24975,17882
29,Andaman and Nicobar Islands,0,12,12,12,18
30,Chandigarh,48,30,78,76,70
31,Dadra and Nagar Haveli and Daman and Diu,0,9,9,9,11
32,Delhi,0,1212,1212,1236,362
33,Jammu and Kashmir,0,287,287,180,170
34,Ladakh,1,4,5,5,1
35,Lakshadweep,0,4,4,3,0
36,Puducherry,0,9,9,12,3
Total UT(s),Total UT(s),49,1567,1616,1533,635
Total (All India),Total (All India),1004,30512,31516,26508,18517
